course_id;course_name;module_code;module_name;course_subcategory;course_type;credits;required;availability;recommended_semester;prerequisites;frequency;language;description;url
;Introduction to the Study Software Engineering and Management;A;Fundamentals of Computer Science;;OL;0,5;;W;1;;yearly;;This course could be described here.;
;Automata Theory ;A;Fundamentals of Computer Science;;VO;3;;W;1;;yearly;;This course could be described here.;
;Automata Theory ;A;Fundamentals of Computer Science;;KU;2;;W;1;;yearly;;This course could be described here.;
;Data Structures and Algorithms;A;Fundamentals of Computer Science;;VU;7;;S;2;;yearly;;This course could be described here.;
;Analysis 1 für Informatikstudien;B;Mathematics 1;;VU;7;;W;1;;yearly;;This course could be described here.;
;Numerisches Rechnen und Lineare Algebra für Informatikstudien;B;Mathematics 1;;VU;7;;W;1;;yearly;;This course could be described here.;
;Diskrete Mathematik für Informatikstudien;C;Mathematics 2;;VU;7;;S;2;;yearly;;This course could be described here.;
;Wahrscheinlichkeitstheorie für Informatikstudien;C;Mathematics 2;;VU;3;;W;3;;yearly;;This course could be described here.;
;Statistik für Informatikstudien;C;Mathematics 2;;VU;1.5;;S;4;;yearly;;This course could be described here.;
;Computational Methods for Statistics;C;Mathematics 2;;VU;2.5;;W;5;;yearly;;This course could be described here.;
;Introduction to Structured Programming;D;Programming 1;;VO;3;;W;1;;yearly;;This course could be described here.;
;Introduction to Structured Programming;D;Programming 1;;KU;4;;W;1;;yearly;;This course could be described here.;
716.018;Software Development Process;D;Programming 1;;VO;1.5;;S;2;;yearly;DE;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/595586?$scrollTo=toc_overview
;Object-Oriented Programming 1;D;Programming 1;;VO;1.5;;S;2;;yearly;;This course could be described here.;
;Object-Oriented Programming 1;D;Programming 1;;Ku;4;;S;2;;yearly;;This course could be described here.;
;Object-Oriented Programming 2;D;Programming 1;;VO;1.5;;W;3;;yearly;;This course could be described here.;
;Object-Oriented Programming 2;D;Programming 1;;KU;2.5;;W;3;;yearly;;This course could be described here.;
;System Level Programming;E;Programming 2;;VU;3;;W;3;;yearly;;This course could be described here.;
;Operating Systems;E;Programming 2;;VU;7;;S;4;;yearly;;This course could be described here.;
716.006;Software Paradigms;E;Programming 2;;VU;4.5;;S;6;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/589128?$scrollTo=toc_overview
716.007;Declarative Programming;E;Programming 2;;VU;3;;S;6;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/589129?$scrollTo=toc_overview
INH.04062UF;Agile Software Development;F;Software Engineering;;VU;4;;W;5;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/576670?$scrollTo=toc_overview
716.126;Object-Oriented Analysis and Design;F;Software Engineering;;VU;3;;W;5;;yearly;DE;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/525604?$scrollTo=toc_overview
INP.32164UF;Software Maintenance;F;Software Engineering;;VU;4.5;;S;6;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/575063?$scrollTo=toc_overview
716.030;Quality Assurance in Software Development;F;Software Engineering;;VU;2.5;;S;6;;yearly;DE;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/589131?$scrollTo=toc_overview
;Computer Organization and Networks;G;Information Processing;;VU;7;;W;3;;yearly;;This course could be described here.;
;Data Management;G;Information Processing;;VO;3;;S;4;;yearly;;This course could be described here.;
;Data Management;G;Information Processing;;KU;2;;S;4;;yearly;;This course could be described here.;
;Information Security;G;Information Processing;;VO;4;;W;5;;yearly;;This course could be described here.;
;Information Security;G;Information Processing;;KU;3;;W;5;;yearly;;This course could be described here.;
;Artificial Intelligence 1;H;Information Processing 2;;VU;3;;W;3;;yearly;;This course could be described here.;
;Human-Computer Interaction;H;Information Processing 2;;VU;4.5;;S;4;;yearly;;This course could be described here.;
;Computer Graphics,Computer Vision;H;Information Processing 2;;VU,VU;3,3;;S,S;6,6;;yearly,yearly;;This course could be described here.;
;Project Management in Software Engineering;I;Management 1;;VO;2;;S;2;;yearly;;This course could be described here.;
;Project Management in Software Engineering;I;Management 1;;UE;5;;S;2;;yearly;;This course could be described here.;
;Betriebssoziologie;I;Management 1;;VO;3;;W;3;;yearly;;This course could be described here.;
;Rechnungswesen für Informatikstudien;I;Management 1;;VO;4;;W;3;;yearly;;This course could be described here.;
;Betriebswirtschaftslehre;J;Management 2;;VO;4.5;;S;4;;yearly;;This course could be described here.;
;Betriebswirtschaftslehre;J;Management 2;;UE;2;;S;4;;yearly;;This course could be described here.;
;Technik-Ethik-Politik für Informatikstudien;J;Management 2;;VO;2;;S;2;;yearly;;This course could be described here.;
;Bürgerliches Recht und Unternehmensrecht;J;Management 2;;VO;4.5;;W;5;;yearly;;This course could be described here.;
;Introduction to Scientific Working;K;Bachelor Thesis and Scientific Work;;SE;2;;W;5;;yearly;;This course could be described here.;
;Bachelor Thesis Software Engineering and Management;K;Bachelor Thesis and Scientific Work;;SP;10;;S;6;;yearly;;This course could be described here.;
;Analysis 2 für Informatikstudien;L;Wahlmodul;;VU;7;;S;0;;yearly;;This course could be described here.;
;Theoretical Computer Science;L;Wahlmodul;;VO;3;;S;0;;yearly;;This course could be described here.;
;Theoretical Computer Science;L;Wahlmodul;;KU;2;;S;0;;yearly;;This course could be described here.;
;Logic and Computability;L;Wahlmodul;;VO;3;;W;0;;yearly;;This course could be described here.;
;Logic and Computability;L;Wahlmodul;;KU;2;;W;0;;yearly;;This course could be described here.;
;Artificial Intelligence 2;L;Wahlmodul;;VU;3;;S;0;;yearly;;This course could be described here.;
;Design and Analysis of Algorithms;L;Wahlmodul;;VU;7;;W;0;;yearly;;This course could be described here.;
721.020;Algorithms and Games;L;Wahlmodul;;VU;4;;W;0;INF.04032UF,INF.03031UF,INP.236UF;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/597195?$scrollTo=toc_overview
710.020;Nonlinear Optimization;L;Wahlmodul;;VO;4.5;;W;0;501.449,501.071,501.454;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/549709?$scrollTo=toc_overview
710.021;Nonlinear Optimization;L;Wahlmodul;;UE;2.5;;W;0;501.449,501.071,501.454;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/549710?$scrollTo=toc_overview
;Machine Learning 1;L;Wahlmodul;;VU;4.5;;S;0;;yearly;;This course could be described here.;
;User Interfaces;L;Wahlmodul;;VU;2;;S;0;;yearly;;This course could be described here.;
;Microcontroller;L;Wahlmodul;;VO;2;;W;0;;yearly;;This course could be described here.;
;Microcontroller;L;Wahlmodul;;UE;3;;W;0;;yearly;;This course could be described here.;
;Technik und Ethik;L;Wahlmodul;;VO;1.5;;W;0;;yearly;;This course could be described here.;
;Arbeitsrecht;L;Wahlmodul;;VO;3;;W;0;;yearly;;This course could be described here.;
;Enabling Innovation;L;Wahlmodul;;VO;1.5;;S;0;;yearly;;This course could be described here.;
;Enabling Innovation;L;Wahlmodul;;UE;3;;S;0;;yearly;;This course could be described here.;
;Steuerrecht;L;Wahlmodul;;VO;3;;W;0;;yearly;;This course could be described here.;
;Grundlagen der Industriebetriebslehre und Innovation;L;Wahlmodul;;VO;3;;W;0;;yearly;;This course could be described here.;
;AK Informatikrecht und Datenschutz;L;Wahlmodul;;VO;3;;S;0;;yearly;;This course could be described here.;
;Grundlagen der Unternehmensführung und Organisation;L;Wahlmodul;;VO;3;;S;0;;yearly;;This course could be described here.;
;Nachhaltige Technikgestaltung;L;Wahlmodul;;VU;4;;W;0;;yearly;;This course could be described here.;
;Vielfalt im Zentrum der Forschung;L;Wahlmodul;;SE;3;;S;0;;yearly;;This course could be described here.;
;Gesellschaftliche Aspekte der Informationstechnologie;L;Wahlmodul;;VU;3;;S;0;;yearly;;This course could be described here.;
;Bachelor Project;L;Wahlmodul;;PT;5;;S;0;;yearly;;This course could be described here.;
;Processor Architecture;L;Wahlmodul;;VO;3;;S;0;;yearly;;This course could be described here.;
;Processor Architecture, Laboratory;L;Wahlmodul;;LU;1.5;;S;0;;yearly;;This course could be described here.;
;Mentoring First Year Students;L;Wahlmodul;;SE;3;;B;0;;yearly;;This course could be described here.;